date,store_id,store_name,region,product_category,product_name,units_sold,unit_price,revenue,starting_inventory,inventory_level,customer_visits,transactions,promotion_flag
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Jackets,Summit Waterproof Shell,22,329,7238,97,75,411,16,True
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Jackets,Alpine Down Parka,15,399,5985,174,159,411,12,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Jackets,Trail Rain Jacket,12,189,2268,90,78,411,8,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Fleece,Canyon Fleece Pullover,30,89,2670,174,144,411,18,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Fleece,Mountain Zip Hoodie,21,119,2499,36,15,411,10,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Backpacks,Boreal Daypack 28L,17,99,1683,106,89,411,13,True
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Backpacks,Expedition Duffel 60L,9,149,1341,58,49,411,5,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Footwear,Ridge Hiking Boot,11,159,1749,102,91,411,5,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Footwear,Trail Runner Shoe,17,129,2193,131,114,411,14,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Base Layers,Thermal Crew Base Layer,33,69,2277,127,94,411,18,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Base Layers,Merino Trek Legging,15,79,1185,93,78,411,7,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Accessories,Summit Beanie,38,34,1292,60,22,411,24,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Accessories,Trail Gloves,34,44,1496,76,42,411,22,False
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Accessories,Insulated Bottle,22,29,638,53,31,411,12,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Jackets,Summit Waterproof Shell,11,329,3619,153,142,245,7,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Jackets,Alpine Down Parka,13,399,5187,177,164,245,9,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Jackets,Trail Rain Jacket,20,189,3780,49,29,245,14,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Fleece,Canyon Fleece Pullover,28,89,2492,103,75,245,23,True
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Fleece,Mountain Zip Hoodie,23,119,2737,115,92,245,16,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Boreal Daypack 28L,16,99,1584,152,136,245,12,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Expedition Duffel 60L,14,149,2086,172,158,245,9,True
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Footwear,Ridge Hiking Boot,15,159,2385,137,122,245,9,False
